ID_Cliente,Edad,Ciudad,Segmento,FechaRegistro,CanalPreferido
C0001,56,Cali,Medio,2024-08-02,App
C0002,46,Cartagena,Básico,2024-08-22,App
C0003,32,Cartagena,Básico,2025-08-10,App
C0004,60,Barranquilla,Medio,2024-01-09,Web
C0005,25,Cartagena,Medio,2024-03-14,Web
C0006,38,Medellín,Premium,2025-05-06,Web
C0007,56,Cali,Premium,2024-09-09,Web
C0008,36,Bogotá,Medio,2024-08-17,Teléfono
C0009,40,Medellín,Medio,2025-06-02,App
C0010,28,Cali,Medio,2024-06-22,Web
C0011,28,Cartagena,Medio,2024-06-16,Tienda
C0012,41,Medellín,Medio,2024-06-18,Web
C0013,53,Bogotá,Medio,2025-01-27,Web
C0014,57,Cali,Premium,2024-07-12,Tienda
C0015,41,Medellín,Básico,2025-05-31,Teléfono
C0016,20,Barranquilla,Básico,2024-01-29,App
C0017,39,Cartagena,Básico,2024-06-13,Teléfono
C0018,19,Cartagena,Medio,2025-02-25,Web
C0019,41,Barranquilla,Básico,2024-12-04,App
C0020,61,Cali,Medio,2025-05-10,Web
C0021,47,Medellín,Medio,2024-12-30,Teléfono
C0022,55,Cartagena,Básico,2024-12-07,Web
C0023,19,Bogotá,Medio,2025-05-14,App
C0024,38,Barranquilla,Básico,2025-05-25,Web
C0025,50,Cartagena,Básico,2024-11-22,App
C0026,29,Cartagena,Premium,2024-08-04,App
C0027,39,Barranquilla,Básico,2024-10-27,App
C0028,61,Medellín,Básico,2024-05-11,App
C0029,42,Barranquilla,Medio,2024-03-10,App
C0030,66,Bogotá,Medio,2024-09-08,App
C0031,44,Cali,Básico,2025-02-18,Web
C0032,59,Barranquilla,Medio,2025-03-20,App
C0033,45,Medellín,Básico,2024-06-30,App
C0034,33,Medellín,Básico,2024-06-15,Teléfono
C0035,32,Barranquilla,Medio,2024-03-31,Web
C0036,64,Bogotá,Medio,2025-06-14,Tienda
C0037,61,Barranquilla,Medio,2024-02-08,App
C0038,20,Barranquilla,Medio,2024-05-05,App
C0039,54,Cartagena,Premium,2025-03-26,App
C0040,24,Bogotá,Medio,2024-06-21,App
C0041,38,Bogotá,Básico,2024-08-07,App
C0042,26,Cartagena,Medio,2024-02-27,App
C0043,56,Barranquilla,Básico,2025-04-20,App
C0044,35,Medellín,Básico,2025-03-31,App
C0045,21,Cartagena,Básico,2024-12-26,Web
C0046,42,Cartagena,Básico,2024-01-01,App
C0047,31,Bogotá,Premium,2025-01-21,Web
C0048,26,Medellín,Premium,2024-12-13,Web
C0049,43,Cartagena,Medio,2024-07-08,Tienda
C0050,19,Cali,Básico,2025-05-19,App
C0051,37,Cali,Básico,2024-07-09,Tienda
C0052,45,Cartagena,Básico,2025-05-22,Web
C0053,64,Cali,Básico,2025-01-03,App
C0054,24,Barranquilla,Medio,2025-02-12,Tienda
C0055,61,Bogotá,Medio,2024-04-26,Teléfono
C0056,25,Bogotá,Medio,2024-05-13,App
C0057,64,Bogotá,Básico,2024-02-27,App
C0058,52,Cartagena,Premium,2025-07-09,Tienda
C0059,31,Medellín,Medio,2024-06-21,Tienda
C0060,34,Barranquilla,Medio,2024-05-28,App
C0061,53,Cartagena,Medio,2024-03-20,App
C0062,57,Cartagena,Básico,2024-07-31,Web
C0063,21,Bogotá,Básico,2024-07-21,Web
C0064,19,Cali,Básico,2024-08-16,Web
C0065,23,Cartagena,Medio,2024-08-14,Web
C0066,59,Bogotá,Básico,2025-06-15,Web
C0067,21,Cartagena,Básico,2025-03-16,Tienda
C0068,46,Bogotá,Básico,2025-02-05,App
C0069,35,Cartagena,Básico,2024-02-16,App
C0070,43,Cali,Premium,2024-08-20,Tienda
C0071,61,Barranquilla,Medio,2024-10-31,Teléfono
C0072,51,Medellín,Medio,2025-06-09,Web
C0073,27,Cartagena,Básico,2024-05-22,Web
C0074,53,Barranquilla,Medio,2025-02-18,App
C0075,31,Cartagena,Medio,2025-05-27,Web
C0076,48,Medellín,Básico,2025-01-07,Web
C0077,65,Medellín,Básico,2025-07-19,App
C0078,32,Barranquilla,Básico,2024-09-15,App
C0079,25,Cali,Medio,2025-04-15,Web
C0080,31,Cali,Medio,2024-01-12,App
C0081,40,Bogotá,Básico,2024-11-25,App
C0082,57,Bogotá,Básico,2024-12-23,App
C0083,38,Cartagena,Medio,2025-02-11,App
C0084,33,Cartagena,Medio,2025-01-07,App
C0085,62,Medellín,Premium,2024-01-08,Teléfono
C0086,35,Medellín,Medio,2024-05-01,Web
C0087,64,Bogotá,Básico,2024-12-13,Tienda
C0088,41,Barranquilla,Básico,2024-03-30,Tienda
C0089,43,Barranquilla,Medio,2024-11-11,Web
C0090,42,Cali,Básico,2024-06-26,App
C0091,62,Medellín,Medio,2025-06-23,Web
C0092,58,Medellín,Premium,2024-02-10,Web
C0093,46,Cali,Medio,2025-05-16,Tienda
C0094,32,Bogotá,Básico,2024-05-24,Web
C0095,62,Cartagena,Medio,2024-07-19,App
C0096,18,Cartagena,Básico,2025-04-05,App
C0097,42,Medellín,Medio,2025-07-11,Web
C0098,24,Bogotá,Premium,2025-06-30,Web
C0099,26,Cartagena,Básico,2024-09-09,Web
C0100,41,Cartagena,Premium,2025-01-24,Web
C0101,18,Cali,Premium,2025-08-16,Teléfono
C0102,61,Cartagena,Básico,2024-09-12,Web
C0103,25,Cartagena,Básico,2025-03-25,App
C0104,41,Bogotá,Básico,2024-01-10,App
C0105,28,Cali,Básico,2024-08-29,App
C0106,34,Cali,Básico,2024-09-07,App
C0107,25,Cartagena,Medio,2024-01-05,App
C0108,52,Cali,Básico,2024-04-28,App
C0109,52,Cartagena,Básico,2025-01-08,App
C0110,50,Barranquilla,Premium,2024-03-05,App
C0111,22,Cali,Básico,2024-05-25,Teléfono
C0112,59,Bogotá,Medio,2024-08-11,App
C0113,56,Medellín,Básico,2024-08-26,Web
C0114,58,Cali,Básico,2024-06-25,Web
C0115,45,Bogotá,Medio,2024-10-08,Teléfono
C0116,24,Cartagena,Medio,2024-03-03,App
C0117,26,Barranquilla,Premium,2024-08-04,Web
C0118,25,Barranquilla,Medio,2025-04-05,Teléfono
C0119,29,Cartagena,Medio,2025-09-01,Tienda
C0120,51,Medellín,Básico,2024-04-14,Tienda
C0121,50,Barranquilla,Básico,2024-04-08,App
C0122,65,Medellín,Medio,2025-05-25,App
C0123,40,Bogotá,Medio,2025-01-19,Tienda
C0124,41,Cali,Premium,2025-02-08,Teléfono
C0125,54,Bogotá,Básico,2025-06-01,Web
C0126,52,Bogotá,Básico,2025-04-20,Web
C0127,61,Bogotá,Medio,2025-03-12,App
C0128,57,Cartagena,Básico,2024-01-23,Tienda
C0129,39,Cali,Premium,2025-07-18,App
C0130,44,Barranquilla,Premium,2025-04-02,App
C0131,52,Cartagena,Básico,2024-03-23,Web
C0132,18,Bogotá,Medio,2024-05-24,Web
C0133,52,Cartagena,Medio,2024-03-25,App
C0134,54,Medellín,Básico,2024-03-18,App
C0135,64,Medellín,Premium,2025-04-01,Web
C0136,31,Medellín,Medio,2024-01-01,App
C0137,20,Barranquilla,Premium,2024-02-20,Web
C0138,18,Cartagena,Básico,2025-03-21,App
C0139,22,Medellín,Premium,2025-03-24,Web
C0140,43,Barranquilla,Básico,2025-05-02,Web
C0141,31,Medellín,Básico,2024-02-03,App
C0142,56,Medellín,Premium,2024-12-13,App
C0143,44,Medellín,Básico,2024-04-04,App
C0144,26,Barranquilla,Básico,2024-03-12,App
C0145,32,Barranquilla,Premium,2025-07-04,Teléfono
C0146,32,Medellín,Premium,2024-06-02,App
C0147,43,Barranquilla,Medio,2024-09-06,Tienda
C0148,59,Cartagena,Medio,2025-03-13,App
C0149,30,Bogotá,Básico,2024-04-27,Tienda
C0150,49,Medellín,Básico,2024-11-01,Tienda
C0151,56,Cali,Básico,2024-09-24,Web
C0152,66,Bogotá,Medio,2024-02-23,Web
C0153,49,Cartagena,Medio,2024-08-23,Web
C0154,21,Bogotá,Medio,2025-01-23,App
C0155,47,Medellín,Medio,2025-02-04,Teléfono
C0156,54,Cartagena,Básico,2024-10-29,Tienda
C0157,40,Bogotá,Medio,2024-07-25,Teléfono
C0158,56,Medellín,Básico,2024-08-16,App
C0159,62,Cali,Medio,2025-07-31,Tienda
C0160,32,Cali,Básico,2024-03-15,Teléfono
